ID,RoadUser,Gender,Age,AgeGroup,PersonID
2635,Passenger,Male,16,0_to_16,2635
2636,Driver,Male,32,26_to_39,2636
2637,Driver,Male,31,26_to_39,2637
2638,Motorcycle rider,Male,74,65_to_74,2638
2639,Pedestrian,Male,74,65_to_74,2639
2640,Pedestrian,Male,87,75_or_older,2640
2641,Driver,Male,85,75_or_older,2641
2642,Motorcycle rider,Male,31,26_to_39,2642
2643,Driver,Male,31,26_to_39,2643
2644,Passenger,Male,20,17_to_25,2644
2645,Driver,Male,61,40_to_64,2645
2646,Passenger,Female,62,40_to_64,2646
2647,Motorcycle rider,Male,37,26_to_39,2647
2648,Passenger,Male,24,17_to_25,2648
2649,Passenger,Male,15,0_to_16,2649
2650,Passenger,Male,15,0_to_16,2650
2651,Motorcycle rider,Male,26,26_to_39,2651
2652,Driver,Male,82,75_or_older,2652
2653,Passenger,Female,79,75_or_older,2653
2654,Pedestrian,Male,92,75_or_older,2654
2655,Motorcycle rider,Male,38,26_to_39,2655
2656,Pedestrian,Male,25,17_to_25,2656
2657,Pedestrian,Male,22,17_to_25,2657
2658,Driver,Male,75,75_or_older,2658
2659,Motorcycle rider,Male,33,26_to_39,2659
2660,Motorcycle rider,Male,21,17_to_25,2660
2661,Driver,Male,79,75_or_older,2661
2662,Driver,Male,80,75_or_older,2662
2663,Pedestrian,Male,62,40_to_64,2663
2664,Pedestrian,Male,32,26_to_39,2664
2665,Driver,Male,27,26_to_39,2665
2666,Driver,Male,81,75_or_older,2666
2667,Pedal cyclist,Male,43,40_to_64,2667
2668,Pedestrian,Male,64,40_to_64,2668
2669,Driver,Male,26,26_to_39,2669
2670,Pedestrian,Female,15,0_to_16,2670
2671,Passenger,Female,16,0_to_16,2671
2672,Motorcycle rider,Male,21,17_to_25,2672
2673,Motorcycle rider,Male,26,26_to_39,2673
2674,Pedestrian,Female,83,75_or_older,2674
2675,Passenger,Female,23,17_to_25,2675
2676,Passenger,Female,23,17_to_25,2676
2677,Driver,Female,24,17_to_25,2677
2678,Passenger,Female,28,26_to_39,2678
2679,Driver,Male,79,75_or_older,2679
2680,Driver,Male,43,40_to_64,2680
2681,Pedestrian,Male,64,40_to_64,2681
2682,Pedal cyclist,Female,70,65_to_74,2682
2683,Driver,Male,53,40_to_64,2683
2684,Driver,Female,55,40_to_64,2684
2685,Motorcycle rider,Male,65,65_to_74,2685
2686,Driver,Male,69,65_to_74,2686
2687,Motorcycle rider,Male,28,26_to_39,2687
2688,Driver,Male,87,75_or_older,2688
2689,Motorcycle rider,Male,36,26_to_39,2689
2690,Driver,Male,20,17_to_25,2690
2691,Passenger,Male,27,26_to_39,2691
2692,Pedestrian,Female,47,40_to_64,2692
2693,Driver,Male,47,40_to_64,2693
2694,Pedestrian,Female,54,40_to_64,2694
2695,Passenger,Male,32,26_to_39,2695
2696,Driver,Male,82,75_or_older,2696
2697,Passenger,Female,91,75_or_older,2697
2698,Driver,Male,67,65_to_74,2698
2699,Motorcycle rider,Male,45,40_to_64,2699
2700,Passenger,Female,80,75_or_older,2700
2701,Driver,Female,21,17_to_25,2701
2702,Motorcycle rider,Male,19,17_to_25,2702
2703,Driver,Male,39,26_to_39,2703
2704,Driver,Male,31,26_to_39,2704
2705,Pedal cyclist,Male,44,40_to_64,2705
2706,Motorcycle rider,Male,47,40_to_64,2706
2707,Motorcycle rider,Male,31,26_to_39,2707
2708,Driver,Male,68,65_to_74,2708
2709,Passenger,Male,19,17_to_25,2709
2710,Driver,Male,20,17_to_25,2710
2711,Passenger,Male,16,0_to_16,2711
2712,Driver,Male,28,26_to_39,2712
2713,Driver,Male,31,26_to_39,2713
2714,Driver,Male,28,26_to_39,2714
2715,Driver,Female,38,26_to_39,2715
2716,Driver,Female,23,17_to_25,2716
2717,Passenger,Female,40,40_to_64,2717
2718,Driver,Female,35,26_to_39,2718
2719,Pedestrian,Male,87,75_or_older,2719
2720,Driver,Male,67,65_to_74,2720
2721,Driver,Female,25,17_to_25,2721
2722,Passenger,Female,28,26_to_39,2722
2723,Driver,Male,22,17_to_25,2723
2724,Passenger,Male,34,26_to_39,2724
2725,Driver,Female,67,65_to_74,2725
2726,Driver,Male,32,26_to_39,2726
2727,Driver,Male,52,40_to_64,2727
2728,Motorcycle rider,Male,33,26_to_39,2728
2729,Driver,Female,33,26_to_39,2729
2730,Motorcycle rider,Male,40,40_to_64,2730
2731,Driver,Male,86,75_or_older,2731
2732,Passenger,Female,93,75_or_older,2732
2733,Motorcycle rider,Male,25,17_to_25,2733
2734,Driver,Male,65,65_to_74,2734
2735,Pedestrian,Female,25,17_to_25,2735
2736,Pedestrian,Male,73,65_to_74,2736
2737,Driver,Male,43,40_to_64,2737
2738,Driver,Male,38,26_to_39,2738
2739,Pedestrian,Male,84,75_or_older,2739
2740,Motorcycle rider,Male,70,65_to_74,2740
2741,Driver,Male,64,40_to_64,2741
2742,Driver,Male,74,65_to_74,2742
2743,Driver,Male,16,0_to_16,2743
2744,Passenger,Female,62,40_to_64,2744
2745,Driver,Male,22,17_to_25,2745
2746,Pedestrian,Female,54,40_to_64,2746
2747,Driver,Male,21,17_to_25,2747
2748,Driver,Male,42,40_to_64,2748
2749,Driver,Female,22,17_to_25,2749
2750,Driver,Male,34,26_to_39,2750
2751,Motorcycle rider,Male,27,26_to_39,2751
2752,Motorcycle pillion passenger,Female,27,26_to_39,2752
2753,Pedestrian,Male,79,75_or_older,2753
2754,Motorcycle rider,Male,18,17_to_25,2754
2755,Driver,Female,49,40_to_64,2755
2756,Motorcycle rider,Male,35,26_to_39,2756
2757,Motorcycle rider,Male,18,17_to_25,2757
2758,Driver,Male,21,17_to_25,2758
2759,Motorcycle pillion passenger,Male,32,26_to_39,2759
2760,Driver,Male,22,17_to_25,2760
2761,Driver,Male,43,40_to_64,2761
2762,Pedestrian,Female,90,75_or_older,2762
2763,Driver,Female,28,26_to_39,2763
2764,Motorcycle rider,Female,57,40_to_64,2764
2765,Motorcycle rider,Male,53,40_to_64,2765
2766,Passenger,Female,62,40_to_64,2766
2767,Driver,Male,50,40_to_64,2767
2768,Pedestrian,Female,12,0_to_16,2768
2769,Passenger,Male,14,0_to_16,2769
2770,Driver,Male,51,40_to_64,2770
2771,Driver,Male,60,40_to_64,2771
2772,Motorcycle rider,Male,49,40_to_64,2772
2773,Driver,Male,29,26_to_39,2773
2774,Driver,Male,18,17_to_25,2774
2775,Motorcycle rider,Male,16,0_to_16,2775
2776,Pedestrian,Male,87,75_or_older,2776
2777,Pedal cyclist,Male,62,40_to_64,2777
2778,Motorcycle rider,Male,27,26_to_39,2778
2779,Driver,Male,33,26_to_39,2779
2780,Driver,Male,40,40_to_64,2780
2781,Motorcycle rider,Male,42,40_to_64,2781
2782,Motorcycle rider,Male,60,40_to_64,2782
2783,Motorcycle rider,Male,32,26_to_39,2783
2784,Pedestrian,Male,8,0_to_16,2784
2785,Motorcycle rider,Male,51,40_to_64,2785
2786,Motorcycle rider,Male,24,17_to_25,2786
2787,Passenger,Male,27,26_to_39,2787
2788,Passenger,Male,30,26_to_39,2788
2789,Driver,Male,32,26_to_39,2789
2790,Passenger,Male,36,26_to_39,2790
2791,Driver,Male,71,65_to_74,2791
2792,Driver,Male,48,40_to_64,2792
2793,Pedestrian,Male,47,40_to_64,2793
2794,Motorcycle rider,Male,20,17_to_25,2794
2795,Passenger,Male,18,17_to_25,2795
2796,Driver,Male,65,65_to_74,2796
2797,Driver,Male,46,40_to_64,2797
2798,Passenger,Male,22,17_to_25,2798
2799,Driver,Male,26,26_to_39,2799
2800,Passenger,Male,23,17_to_25,2800
2801,Driver,Male,34,26_to_39,2801
2802,Driver,Male,49,40_to_64,2802
2803,Pedestrian,Male,18,17_to_25,2803
2804,Driver,Male,19,17_to_25,2804
2805,Driver,Male,37,26_to_39,2805
2806,Passenger,Male,23,17_to_25,2806
2807,Driver,Female,23,17_to_25,2807
2808,Driver,Female,19,17_to_25,2808
2809,Motorcycle rider,Male,44,40_to_64,2809
2810,Motorcycle rider,Male,62,40_to_64,2810
2811,Driver,Female,29,26_to_39,2811
2812,Driver,Male,82,75_or_older,2812
2813,Driver,Male,66,65_to_74,2813
2814,Driver,Female,57,40_to_64,2814
2815,Driver,Male,54,40_to_64,2815
2816,Driver,Female,42,40_to_64,2816
2817,Driver,Male,76,75_or_older,2817
2818,Driver,Male,60,40_to_64,2818
2819,Pedestrian,Male,28,26_to_39,2819
2820,Driver,Male,62,40_to_64,2820
2821,Motorcycle rider,Male,79,75_or_older,2821
2822,Motorcycle rider,Male,53,40_to_64,2822
2823,Pedestrian,Male,76,75_or_older,2823
2824,Motorcycle rider,Male,72,65_to_74,2824
2825,Motorcycle rider,Male,28,26_to_39,2825
2826,Driver,Female,72,65_to_74,2826
2827,Motorcycle rider,Male,20,17_to_25,2827
2828,Driver,Male,54,40_to_64,2828
2829,Motorcycle rider,Male,22,17_to_25,2829
2830,Driver,Male,21,17_to_25,2830
2831,Pedestrian,Male,90,75_or_older,2831
2832,Driver,Male,19,17_to_25,2832
2833,Pedal cyclist,Male,53,40_to_64,2833
2834,Driver,Female,68,65_to_74,2834
2835,Driver,Male,63,40_to_64,2835
2836,Driver,Male,52,40_to_64,2836
2837,Driver,Female,42,40_to_64,2837
2838,Motorcycle rider,Male,63,40_to_64,2838
2839,Driver,Male,25,17_to_25,2839
2840,Driver,Male,60,40_to_64,2840
2841,Pedal cyclist,Male,80,75_or_older,2841
2842,Motorcycle rider,Male,70,65_to_74,2842
2843,Driver,Female,52,40_to_64,2843
2844,Motorcycle rider,Male,27,26_to_39,2844
2845,Driver,Female,76,75_or_older,2845
2846,Pedestrian,Female,51,40_to_64,2846
2847,Motorcycle rider,Male,54,40_to_64,2847
2848,Driver,Female,63,40_to_64,2848
2849,Driver,Male,80,75_or_older,2849
2850,Motorcycle rider,Male,38,26_to_39,2850
2851,Driver,Female,55,40_to_64,2851
2852,Passenger,Female,72,65_to_74,2852
2853,Driver,Male,50,40_to_64,2853
2854,Motorcycle rider,Male,30,26_to_39,2854
2855,Driver,Female,44,40_to_64,2855
2856,Driver,Male,40,40_to_64,2856
2857,Passenger,Male,72,65_to_74,2857
2858,Pedestrian,Male,70,65_to_74,2858
2859,Pedestrian,Female,19,17_to_25,2859
2860,Driver,Male,49,40_to_64,2860
2861,Driver,Male,61,40_to_64,2861
2862,Pedestrian,Male,25,17_to_25,2862
2863,Driver,Male,51,40_to_64,2863
2864,Driver,Female,52,40_to_64,2864
2865,Driver,Female,17,17_to_25,2865
2866,Driver,Male,17,17_to_25,2866
2867,Passenger,Male,69,65_to_74,2867
2868,Motorcycle rider,Male,39,26_to_39,2868
2869,Motorcycle rider,Male,73,65_to_74,2869
2870,Driver,Male,22,17_to_25,2870
2871,Passenger,Female,47,40_to_64,2871
2872,Driver,Male,65,65_to_74,2872
2873,Driver,Male,68,65_to_74,2873
2874,Driver,Male,21,17_to_25,2874
2875,Driver,Male,28,26_to_39,2875
2876,Driver,Male,44,40_to_64,2876
2877,Passenger,Male,27,26_to_39,2877
2878,Driver,Female,22,17_to_25,2878
2879,Driver,Female,46,40_to_64,2879
2880,Driver,Female,64,40_to_64,2880
2881,Passenger,Male,17,17_to_25,2881
2882,Driver,Male,20,17_to_25,2882
2883,Driver,Male,18,17_to_25,2883
2884,Driver,Male,19,17_to_25,2884
2885,Passenger,Female,14,0_to_16,2885
2886,Pedestrian,Male,30,26_to_39,2886
2887,Motorcycle rider,Male,17,17_to_25,2887
2888,Driver,Female,26,26_to_39,2888
2889,Motorcycle rider,Male,43,40_to_64,2889
2890,Motorcycle rider,Male,80,75_or_older,2890
2891,Driver,Male,61,40_to_64,2891
2892,Motorcycle rider,Male,57,40_to_64,2892
2893,Motorcycle rider,Male,62,40_to_64,2893
2894,Driver,Male,29,26_to_39,2894
2895,Driver,Male,60,40_to_64,2895
2896,Motorcycle rider,Male,23,17_to_25,2896
2897,Driver,Male,45,40_to_64,2897
2898,Driver,Female,22,17_to_25,2898
2899,Motorcycle rider,Male,55,40_to_64,2899
2900,Motorcycle rider,Male,78,75_or_older,2900
2901,Passenger,Male,79,75_or_older,2901
2902,Passenger,Female,69,65_to_74,2902
2903,Motorcycle rider,Female,47,40_to_64,2903
2904,Motorcycle rider,Female,49,40_to_64,2904
2905,Driver,Male,46,40_to_64,2905
2906,Driver,Male,78,75_or_older,2906
2907,Motorcycle rider,Male,26,26_to_39,2907
2908,Driver,Male,50,40_to_64,2908
2909,Driver,Male,15,0_to_16,2909
2910,Passenger,Male,6,0_to_16,2910
2911,Pedal cyclist,Male,58,40_to_64,2911
2912,Passenger,Male,46,40_to_64,2912
2913,Driver,Male,52,40_to_64,2913
2914,Driver,Male,40,40_to_64,2914
2915,Pedestrian,Male,50,40_to_64,2915
2916,Driver,Male,51,40_to_64,2916
2917,Motorcycle rider,Male,46,40_to_64,2917
2918,Driver,Male,38,26_to_39,2918
2919,Passenger,Male,5,0_to_16,2919
2920,Motorcycle pillion passenger,Male,39,26_to_39,2920
2921,Motorcycle rider,Male,21,17_to_25,2921
2922,Driver,Male,79,75_or_older,2922
2923,Pedestrian,Female,23,17_to_25,2923
2924,Driver,Male,56,40_to_64,2924
2925,Driver,Female,80,75_or_older,2925
2926,Motorcycle rider,Male,14,0_to_16,2926
2927,Driver,Female,29,26_to_39,2927
2928,Motorcycle rider,Male,33,26_to_39,2928
2929,Passenger,Female,37,26_to_39,2929
2930,Driver,Female,36,26_to_39,2930
2931,Driver,Male,94,75_or_older,2931
2932,Driver,Male,40,40_to_64,2932
2933,Passenger,Female,43,40_to_64,2933
2934,Driver,Female,21,17_to_25,2934
2935,Pedestrian,Female,65,65_to_74,2935
2936,Motorcycle rider,Male,22,17_to_25,2936
2937,Motorcycle rider,Male,20,17_to_25,2937
2938,Driver,Male,31,26_to_39,2938
2939,Pedestrian,Female,18,17_to_25,2939
2940,Pedestrian,Female,37,26_to_39,2940
2941,Passenger,Female,16,0_to_16,2941
2942,Driver,Male,26,26_to_39,2942
2943,Driver,Male,65,65_to_74,2943
2944,Pedal cyclist,Male,74,65_to_74,2944
2945,Motorcycle rider,Male,25,17_to_25,2945
2946,Pedestrian,Female,59,40_to_64,2946
2947,Pedestrian,Male,3,0_to_16,2947
2948,Driver,Male,29,26_to_39,2948
2949,Motorcycle rider,Male,64,40_to_64,2949
2950,Passenger,Female,84,75_or_older,2950
2951,Passenger,Male,10,0_to_16,2951
2952,Driver,Male,66,65_to_74,2952
2953,Pedestrian,Male,70,65_to_74,2953
2954,Passenger,Female,12,0_to_16,2954
2955,Motorcycle rider,Male,31,26_to_39,2955
2956,Motorcycle rider,Male,51,40_to_64,2956
2957,Passenger,Female,44,40_to_64,2957
2958,Motorcycle rider,Male,22,17_to_25,2958
2959,Driver,Male,49,40_to_64,2959
2960,Passenger,Male,58,40_to_64,2960
2961,Driver,Male,33,26_to_39,2961
2962,Motorcycle rider,Male,21,17_to_25,2962
2963,Passenger,Female,34,26_to_39,2963
2964,Passenger,Female,68,65_to_74,2964
2965,Motorcycle rider,Male,61,40_to_64,2965
2966,Passenger,Female,2,0_to_16,2966
2967,Passenger,Female,62,40_to_64,2967
2968,Driver,Male,36,26_to_39,2968
2969,Motorcycle rider,Male,21,17_to_25,2969
2970,Motorcycle rider,Male,22,17_to_25,2970
2971,Pedestrian,Male,31,26_to_39,2971
2972,Motorcycle rider,Male,48,40_to_64,2972
2973,Motorcycle rider,Male,65,65_to_74,2973
2974,Driver,Female,72,65_to_74,2974
2975,Motorcycle rider,Male,59,40_to_64,2975
2976,Driver,Male,47,40_to_64,2976
2977,Motorcycle rider,Male,53,40_to_64,2977
2978,Driver,Male,57,40_to_64,2978
2979,Driver,Male,56,40_to_64,2979
2980,Pedal cyclist,Male,54,40_to_64,2980
2981,Passenger,Female,36,26_to_39,2981
2982,Pedestrian,Female,37,26_to_39,2982
2983,Pedestrian,Male,27,26_to_39,2983
2984,Pedestrian,Male,27,26_to_39,2984
2985,Driver,Male,17,17_to_25,2985
2986,Driver,Male,25,17_to_25,2986
2987,Motorcycle rider,Male,49,40_to_64,2987
2988,Driver,Male,42,40_to_64,2988
2989,Motorcycle rider,Male,40,40_to_64,2989
2990,Driver,Male,39,26_to_39,2990
2991,Pedal cyclist,Male,20,17_to_25,2991
2992,Driver,Male,18,17_to_25,2992
2993,Driver,Male,56,40_to_64,2993
2994,Pedestrian,Female,76,75_or_older,2994
2995,Pedestrian,Female,66,65_to_74,2995
2996,Driver,Male,38,26_to_39,2996
2997,Pedal cyclist,Male,89,75_or_older,2997
2998,Motorcycle rider,Male,42,40_to_64,2998
2999,Driver,Male,51,40_to_64,2999
3000,Driver,Male,54,40_to_64,3000
3001,Motorcycle rider,Male,52,40_to_64,3001
3002,Driver,Male,80,75_or_older,3002
3003,Motorcycle rider,Male,29,26_to_39,3003
3004,Driver,Male,28,26_to_39,3004
3005,Driver,Male,19,17_to_25,3005
3006,Driver,Male,16,0_to_16,3006
3007,Driver,Male,21,17_to_25,3007
3008,Driver,Male,49,40_to_64,3008
3009,Driver,Male,25,17_to_25,3009
3010,Pedal cyclist,Male,80,75_or_older,3010
3011,Motorcycle rider,Male,47,40_to_64,3011
3012,Motorcycle rider,Male,81,75_or_older,3012
3013,Motorcycle rider,Male,71,65_to_74,3013
3014,Motorcycle rider,Male,48,40_to_64,3014
3015,Motorcycle rider,Male,71,65_to_74,3015
3016,Pedestrian,Male,56,40_to_64,3016
3017,Driver,Male,34,26_to_39,3017
3018,Driver,Male,38,26_to_39,3018
3019,Motorcycle rider,Male,24,17_to_25,3019
3020,Motorcycle rider,Male,17,17_to_25,3020
3021,Driver,Male,31,26_to_39,3021
3022,Pedestrian,Male,89,75_or_older,3022
3023,Pedal cyclist,Male,79,75_or_older,3023
3024,Pedestrian,Female,67,65_to_74,3024
3025,Motorcycle rider,Male,50,40_to_64,3025
3026,Motorcycle rider,Male,18,17_to_25,3026
3027,Pedestrian,Female,70,65_to_74,3027
3028,Driver,Female,75,75_or_older,3028
3029,Passenger,Male,57,40_to_64,3029
3030,Driver,Male,15,0_to_16,3030
3031,Driver,Female,49,40_to_64,3031
3032,Motorcycle rider,Female,84,75_or_older,3032
3033,Driver,Male,62,40_to_64,3033
3034,Driver,Female,36,26_to_39,3034
3035,Driver,Male,37,26_to_39,3035
3036,Driver,Male,53,40_to_64,3036
3037,Driver,Female,24,17_to_25,3037
3038,Driver,Male,84,75_or_older,3038
3039,Motorcycle rider,Male,31,26_to_39,3039
3040,Driver,Male,74,65_to_74,3040
3041,Driver,Male,24,17_to_25,3041
3042,Driver,Male,67,65_to_74,3042
3043,Driver,Male,61,40_to_64,3043
3044,Motorcycle rider,Male,28,26_to_39,3044
3045,Pedestrian,Male,20,17_to_25,3045
3046,Driver,Male,28,26_to_39,3046
3047,Driver,Female,51,40_to_64,3047
3048,Pedestrian,Male,48,40_to_64,3048
3049,Driver,Male,75,75_or_older,3049
3050,Driver,Male,94,75_or_older,3050
3051,Passenger,Male,70,65_to_74,3051
3052,Pedal cyclist,Male,74,65_to_74,3052
3053,Driver,Female,21,17_to_25,3053
3054,Pedestrian,Female,21,17_to_25,3054
3055,Passenger,Female,82,75_or_older,3055
3056,Passenger,Male,22,17_to_25,3056
3057,Passenger,Male,24,17_to_25,3057
3058,Pedestrian,Female,57,40_to_64,3058
3059,Passenger,Female,89,75_or_older,3059
3060,Driver,Female,47,40_to_64,3060
3061,Motorcycle rider,Male,52,40_to_64,3061
3062,Motorcycle rider,Male,19,17_to_25,3062
3063,Passenger,Male,20,17_to_25,3063
3064,Driver,Male,21,17_to_25,3064
3065,Driver,Male,18,17_to_25,3065
3066,Pedal cyclist,Male,51,40_to_64,3066
3067,Driver,Male,62,40_to_64,3067
3068,Driver,Male,68,65_to_74,3068
3069,Driver,Male,28,26_to_39,3069
3070,Driver,Male,17,17_to_25,3070
3071,Driver,Male,19,17_to_25,3071
3072,Passenger,Male,32,26_to_39,3072
3073,Driver,Male,31,26_to_39,3073
3074,Motorcycle rider,Male,21,17_to_25,3074
3075,Driver,Male,68,65_to_74,3075
3076,Pedestrian,Female,68,65_to_74,3076
3077,Passenger,Male,51,40_to_64,3077
3078,Driver,Female,47,40_to_64,3078
3079,Motorcycle rider,Male,28,26_to_39,3079
3080,Motorcycle rider,Male,22,17_to_25,3080
3081,Motorcycle rider,Male,32,26_to_39,3081
3082,Driver,Male,61,40_to_64,3082
3083,Driver,Female,69,65_to_74,3083
3084,Driver,Female,47,40_to_64,3084
3085,Motorcycle rider,Male,62,40_to_64,3085
3086,Passenger,Female,78,75_or_older,3086
3087,Passenger,Female,61,40_to_64,3087
3088,Driver,Female,70,65_to_74,3088
3089,Driver,Male,77,75_or_older,3089
3090,Driver,Male,45,40_to_64,3090
3091,Driver,Male,25,17_to_25,3091
3092,Passenger,Female,59,40_to_64,3092
3093,Passenger,Male,2,0_to_16,3093
3094,Passenger,Male,18,17_to_25,3094
3095,Pedestrian,Male,46,40_to_64,3095
3096,Pedestrian,Male,44,40_to_64,3096
3097,Driver,Female,28,26_to_39,3097
3098,Driver,Male,58,40_to_64,3098
3099,Driver,Male,75,75_or_older,3099
3100,Driver,Female,18,17_to_25,3100
3101,Driver,Male,52,40_to_64,3101
3102,Driver,Male,21,17_to_25,3102
3103,Passenger,Male,35,26_to_39,3103
3104,Driver,Male,41,40_to_64,3104
3105,Driver,Male,21,17_to_25,3105
3106,Passenger,Male,19,17_to_25,3106
3107,Driver,Male,48,40_to_64,3107
3108,Driver,Male,75,75_or_older,3108
3109,Driver,Female,33,26_to_39,3109
3110,Driver,Male,54,40_to_64,3110
3111,Pedestrian,Male,26,26_to_39,3111
3112,Driver,Male,69,65_to_74,3112
3113,Motorcycle rider,Male,26,26_to_39,3113
3114,Driver,Male,41,40_to_64,3114
3115,Driver,Male,65,65_to_74,3115
3116,Driver,Male,18,17_to_25,3116
3117,Driver,Female,61,40_to_64,3117
3118,Driver,Male,31,26_to_39,3118
3119,Driver,Male,33,26_to_39,3119
3120,Driver,Female,26,26_to_39,3120
3121,Driver,Female,54,40_to_64,3121
3122,Driver,Male,51,40_to_64,3122
3123,Motorcycle rider,Male,38,26_to_39,3123
3124,Driver,Male,30,26_to_39,3124
3125,Passenger,Male,39,26_to_39,3125
3126,Driver,Male,31,26_to_39,3126
3127,Driver,Male,22,17_to_25,3127
3128,Pedal cyclist,Female,47,40_to_64,3128
3129,Driver,Male,25,17_to_25,3129
3130,Pedestrian,Female,72,65_to_74,3130
3131,Pedestrian,Male,84,75_or_older,3131
3132,Passenger,Female,79,75_or_older,3132
3133,Driver,Female,77,75_or_older,3133
3134,Motorcycle rider,Male,66,65_to_74,3134
3135,Pedestrian,Male,54,40_to_64,3135
3136,Driver,Male,76,75_or_older,3136
3137,Driver,Male,47,40_to_64,3137
3138,Pedestrian,Male,43,40_to_64,3138
3139,Driver,Male,32,26_to_39,3139
3140,Motorcycle pillion passenger,Male,32,26_to_39,3140
3141,Motorcycle rider,Male,30,26_to_39,3141
3142,Driver,Female,18,17_to_25,3142
3143,Motorcycle rider,Male,25,17_to_25,3143
3144,Motorcycle rider,Male,18,17_to_25,3144
3145,Driver,Male,45,40_to_64,3145
3146,Motorcycle pillion passenger,Female,17,17_to_25,3146
3147,Driver,Male,77,75_or_older,3147
3148,Driver,Female,20,17_to_25,3148
3149,Driver,Female,64,40_to_64,3149
3150,Passenger,Male,65,65_to_74,3150
3151,Passenger,Male,87,75_or_older,3151
3152,Driver,Male,31,26_to_39,3152
3153,Passenger,Female,94,75_or_older,3153
3154,Driver,Male,41,40_to_64,3154
3155,Driver,Male,28,26_to_39,3155
3156,Motorcycle rider,Male,52,40_to_64,3156
3157,Pedal cyclist,Male,80,75_or_older,3157
3158,Motorcycle rider,Male,27,26_to_39,3158
3159,Passenger,Male,10,0_to_16,3159
3160,Passenger,Female,39,26_to_39,3160
3161,Motorcycle rider,Male,64,40_to_64,3161
3162,Motorcycle rider,Male,50,40_to_64,3162
3163,Passenger,Male,6,0_to_16,3163
3164,Motorcycle rider,Male,65,65_to_74,3164
3165,Motorcycle rider,Male,59,40_to_64,3165
3166,Motorcycle rider,Male,60,40_to_64,3166
3167,Passenger,Female,55,40_to_64,3167
3168,Driver,Male,85,75_or_older,3168
3169,Driver,Male,68,65_to_74,3169
3170,Driver,Male,65,65_to_74,3170
3171,Motorcycle rider,Male,32,26_to_39,3171
3172,Driver,Male,25,17_to_25,3172
3173,Driver,Male,25,17_to_25,3173
3174,Passenger,Male,17,17_to_25,3174
3175,Pedal cyclist,Male,55,40_to_64,3175
3176,Passenger,Male,18,17_to_25,3176
3177,Driver,Male,23,17_to_25,3177
3178,Pedestrian,Male,21,17_to_25,3178
3179,Driver,Male,31,26_to_39,3179
3180,Passenger,Male,22,17_to_25,3180
3181,Driver,Male,23,17_to_25,3181
3182,Motorcycle rider,Male,49,40_to_64,3182
3183,Driver,Male,67,65_to_74,3183
3184,Pedestrian,Male,74,65_to_74,3184
3185,Driver,Male,57,40_to_64,3185
3186,Driver,Male,31,26_to_39,3186
3187,Motorcycle rider,Male,48,40_to_64,3187
3188,Motorcycle rider,Male,62,40_to_64,3188
3189,Driver,Female,47,40_to_64,3189
3190,Passenger,Male,2,0_to_16,3190
3191,Driver,Male,64,40_to_64,3191
3192,Driver,Female,80,75_or_older,3192
3193,Passenger,Female,59,40_to_64,3193
3194,Driver,Female,38,26_to_39,3194
3195,Driver,Male,17,17_to_25,3195
3196,Pedal cyclist,Male,60,40_to_64,3196
3197,Driver,Male,80,75_or_older,3197
3198,Driver,Male,43,40_to_64,3198
3199,Driver,Male,68,65_to_74,3199
3200,Passenger,Female,47,40_to_64,3200
3201,Driver,Male,50,40_to_64,3201
3202,Passenger,Female,48,40_to_64,3202
3203,Driver,Male,85,75_or_older,3203
3204,Motorcycle rider,Male,66,65_to_74,3204
3205,Motorcycle rider,Male,42,40_to_64,3205
3206,Driver,Female,24,17_to_25,3206
3207,Driver,Male,43,40_to_64,3207
3208,Motorcycle pillion passenger,Female,24,17_to_25,3208
3209,Motorcycle rider,Male,30,26_to_39,3209
3210,Pedestrian,Male,35,26_to_39,3210
3211,Driver,Male,18,17_to_25,3211
3212,Driver,Male,25,17_to_25,3212
3213,Driver,Male,46,40_to_64,3213
3214,Pedestrian,Female,43,40_to_64,3214
3215,Driver,Male,85,75_or_older,3215
3216,Passenger,Male,14,0_to_16,3216
3217,Motorcycle rider,Male,39,26_to_39,3217
3218,Motorcycle rider,Male,22,17_to_25,3218
3219,Motorcycle rider,Male,32,26_to_39,3219
3220,Pedestrian,Male,52,40_to_64,3220
3221,Pedestrian,Female,54,40_to_64,3221
3222,Driver,Male,84,75_or_older,3222
3223,Driver,Male,89,75_or_older,3223
3224,Driver,Male,63,40_to_64,3224
3225,Driver,Male,42,40_to_64,3225
3226,Driver,Male,78,75_or_older,3226
3227,Pedestrian,Male,68,65_to_74,3227
3228,Passenger,Female,58,40_to_64,3228
3229,Passenger,Male,85,75_or_older,3229
3230,Driver,Female,84,75_or_older,3230
3231,Driver,Male,77,75_or_older,3231
3232,Pedal cyclist,Male,68,65_to_74,3232
3233,Pedestrian,Male,90,75_or_older,3233
3234,Pedal cyclist,Male,78,75_or_older,3234
3235,Motorcycle rider,Male,49,40_to_64,3235
3236,Pedestrian,Male,19,17_to_25,3236
3237,Driver,Female,80,75_or_older,3237
3238,Driver,Male,47,40_to_64,3238
3239,Motorcycle rider,Male,19,17_to_25,3239
3240,Driver,Male,46,40_to_64,3240
3241,Driver,Male,19,17_to_25,3241
3242,Motorcycle rider,Male,26,26_to_39,3242
3243,Passenger,Female,11,0_to_16,3243
3244,Driver,Male,20,17_to_25,3244
3245,Passenger,Female,24,17_to_25,3245
